alfa,Cl,Cd
-110.0,0.4500,1.3000
-80.0,-0.2250,1.3000
-70.0,-0.4500,1.2200
-60.0,-0.6500,1.1200
-50.0,-0.7500,0.8900
-40.0,-0.8000,0.6600
-30.0,-0.8000,0.4300
-25.0,-0.7000,0.3150
-20.0,-0.6000,0.2000
-16.0,-1.1000,0.0500
-14.0,-1.1000,0.0287
-12.0,-1.0067,0.0160
-10.0,-0.8200,0.0120
-4.0,-0.1375,0.0075
-2.0,0.0900,0.0060
2.0,0.5450,0.0060
4.0,0.7725,0.0060
6.0,1.0000,0.0103
8.0,1.1800,0.0145
10.0,1.3200,0.0388
12.0,1.4000,0.0630
14.0,1.4300,0.0950
16.0,1.4000,0.1280
18.0,1.3500,0.1660
20.0,1.3100,0.2100
25.0,1.0700,0.3400
30.0,1.1000,0.5000
40.0,1.1000,0.8600
50.0,0.9900,1.1300
60.0,0.7800,1.3250
70.0,0.5300,1.4400
80.0,0.2700,1.5000
110.0,-0.5200,1.4000
170.0,-0.9000,0.1000
